id,input-braille,expected-latex,remark
1,⠹⠆⠤⠂⠌⠒⠘⠆⠼,\frac{2-1}{3^2},
2,⠹⠆⠤⠂⠌⠒⠘⠆⠐⠼,\frac{2-1}{3^2},V
3,⠼⠒⠬⠆⠀⠨⠅⠀⠼⠢,3+2=5,
4,⠠⠁⠬⠠⠃⠀⠨⠅⠀⠠⠉,A+B=C,
5,⠠⠁⠬⠃⠀⠨⠅⠀⠠⠉,A+b=C,
6,⠠⠠⠁⠃⠉,ABC,
7,⠼⠂⠬⠠⠠⠁⠃⠉⠠⠄⠙,1+ABCd,
8,⠼⠂⠬⠠⠁⠠⠃⠠⠉⠙,1+ABCd,V
9,⠁⠘⠆,a^2,
10,⠁⠬⠃⠘⠆,a+b^2,
11,⠷⠁⠬⠃⠾⠘⠆,{(a+b)}^2,
12,⠁⠬⠃⠰⠒,a+b_3,
13,⠷⠁⠬⠃⠾⠰⠒,{(a+b)}_3,
14,⠁⠬⠃⠘⠆⠬⠒⠐,a+b^{2+3},
15,⠠⠁⠠⠃⠠⠉,ABC,
16,⠣⠒⠜⠭⠻,\sqrt[3]{x},
17,⠜⠭⠘⠆⠐⠻,\sqrt{x^2},
18,⠁⠬⠃⠘⠆⠘⠒⠐⠐,a+b^{2^3},
19,⠆⠈⠡⠆,2\times 2,
20,⠼⠆⠈⠡⠆,2\times 2,V
21,⠐⠠⠁⠠⠃⠣⠱⠻,\overline{AB},
22,⠐⠠⠁⠠⠃⠣⠫⠒⠒⠈⠕⠻,\vec{AB},
23,⠐⠠⠁⠠⠃⠣⠫⠪⠒⠒⠕⠻,\overleftrightarrow{AB},
24,⠐⠠⠁⠠⠃⠣⠫⠕⠻,\overrightarrow{AB},
25,⠐⠠⠁⠠⠃⠣⠫⠒⠒⠕⠻,\overrightarrow{AB},V
26,⠐⠠⠁⠠⠃⠣⠱⠻,\overline{AB},
27,⠐⠠⠁⠠⠃⠣⠫⠁⠻,\overset{\frown}{AB},
28,⠐⠠⠍⠠⠝⠣⠱⠻⠀⠫⠇⠀⠐⠠⠭⠠⠽⠣⠱⠻,\overline{MN}\parallel \overline{XY},
29,⠐⠠⠏⠠⠟⠣⠫⠕⠻⠀⠫⠏⠀⠐⠠⠏⠠⠞⠣⠫⠕⠻,\overrightarrow{PQ}\bot \overrightarrow{PT},
30,⠐⠇⠊⠍⠩⠊⠀⠫⠕⠀⠴⠻,\lim_{{i} \to {0}},
31,⠐⠨⠠⠎⠩⠊⠀⠨⠅⠀⠴⠣⠢⠴⠻,\sum_{i=0}^{50},
32,⠐⠨⠠⠎⠩⠊⠨⠅⠴⠣⠢⠴⠻,\sum_{i=0}^{50},V
33,⠷⠠⠉⠰⠆⠐⠘⠢⠐⠾,\binom{5}{2},
34,⠫⠞⠀⠠⠁⠠⠃⠠⠉,\triangle ABC,
35,⠸⠴,\emptyset,
36,⠢⠀⠨⠂⠀⠒,5>3,
37,⠼⠢⠨⠂⠒,5>3,V
38,⠹⠤⠃⠬⠤⠜⠃⠘⠆⠐⠤⠲⠁⠉⠻⠌⠆⠁⠼,\frac{-b\pm \sqrt{b^2-4ac}}{2a},
39,⠁⠭⠘⠆⠐⠬⠃⠭⠬⠉⠀⠨⠅⠀⠴,ax^2+bx+c=0,
40,⠁⠭⠘⠆⠐⠬⠃⠭⠬⠉⠀⠨⠅⠀⠼⠴,ax^2+bx+c=0,V
41,⠹⠂⠬⠹⠆⠬⠹⠒⠌⠲⠼⠌⠢⠼⠌⠖⠬⠹⠶⠌⠦⠼⠼,\frac{1+\frac{2+\frac{3}{4}}{5}}{6+\frac{7}{8}},
42,⠠⠠⠹⠂⠬⠠⠹⠆⠬⠹⠒⠌⠲⠼⠠⠌⠢⠠⠼⠠⠠⠌⠖⠬⠹⠶⠌⠦⠼⠠⠠⠼,\frac{1+\frac{2+\frac{3}{4}}{5}}{6+\frac{7}{8}},
43,⠨⠷⠂⠨⠾,\{1\},
44,⠨⠠⠋,\Phi,
45,⠨⠷⠁⠬⠃⠨⠾⠘⠆,{\{a+b\}}^2,
46,⠼⠂⠲⠸⠹⠒⠌⠂⠂⠸⠼,14\frac{3}{11},
47,⠐⠮⠩⠭⠣⠽⠻,\int_{x}^{y},
48,⠮⠰⠭⠘⠽⠐,\int_{x}^{y},
49,⠐⠨⠠⠎⠩⠅⠀⠨⠅⠀⠼⠂⠣⠂⠴⠻⠀⠅⠘⠆⠐,\sum_{k=1}^{10} k^2,
50,⠆⠀⠨⠂⠀⠂,2>1,
51,⠆⠨⠂⠂,2.11,
52,⠫⠞⠠⠁⠠⠃⠠⠉,\triangle ABC,
53,⠁⠀⠐⠅⠱⠀⠭⠀⠐⠅⠱⠀⠃,a \leq  x \leq  b,
