id,input-braille,expected-latex
1,⠹⠆⠤⠂⠌⠒⠘⠆⠐⠼,\frac{2-1}{3^2}
2,⠼⠒⠬⠆⠀⠨⠅⠀⠼⠢,3+2=5
3,⠠⠁⠬⠠⠃⠀⠨⠅⠀⠠⠉,A+B=C
4,⠠⠁⠬⠃⠀⠨⠅⠀⠠⠉,A+b=C
5,⠠⠁⠠⠃⠠⠉,ABC
6,⠼⠂⠬⠠⠁⠠⠃⠠⠉⠙,1+ABCd
7,⠁⠘⠆,a^2
8,⠁⠬⠃⠘⠆,a+b^2
9,⠷⠁⠬⠃⠾⠘⠆,{(a+b)}^2
10,⠁⠬⠃⠰⠒,a+b_3
11,⠷⠁⠬⠃⠾⠰⠒,{(a+b)}_3
12,⠁⠬⠃⠘⠆⠬⠒⠐,a+b^{2+3}
13,⠠⠁⠠⠃⠠⠉,ABC
14,⠣⠒⠜⠭⠻,\sqrt[3]{x}
15,⠜⠭⠘⠆⠐⠻,\sqrt{x^2}
16,⠁⠬⠃⠘⠆⠘⠒⠐⠐,a+b^{2^3}
17,⠼⠆⠈⠡⠆,2\times 2
18,⠐⠠⠁⠠⠃⠣⠱⠻,\overline{AB}
19,⠐⠠⠁⠠⠃⠣⠫⠒⠒⠈⠕⠻,\vec{AB}
20,⠐⠠⠁⠠⠃⠣⠫⠪⠒⠒⠕⠻,\overleftrightarrow{AB}
21,⠐⠠⠁⠠⠃⠣⠫⠒⠒⠕⠻,\overrightarrow{AB}
22,⠐⠠⠁⠠⠃⠣⠱⠻,\overline{AB}
23,⠐⠠⠁⠠⠃⠣⠫⠁⠻,\overset{\frown}{AB}
24,⠐⠇⠊⠍⠩⠊⠀⠫⠕⠀⠴⠻,\lim_{{i} \to {0}}
25,⠐⠨⠠⠎⠩⠊⠨⠅⠴⠣⠢⠴⠻,\sum_{i=0}^{50}
26,⠷⠠⠉⠰⠆⠐⠘⠢⠐⠾,\binom{5}{2}
27,⠫⠞⠀⠠⠁⠠⠃⠠⠉,\triangle ABC
28,⠸⠴,\emptyset
29,⠼⠢⠨⠂⠒,5>3
30,⠹⠤⠃⠬⠤⠜⠃⠘⠆⠐⠤⠲⠁⠉⠻⠌⠆⠁⠼,\frac{-b\pm \sqrt{b^2-4ac}}{2a}
31,⠁⠭⠘⠆⠐⠬⠃⠭⠬⠉⠀⠨⠅⠀⠼⠴,ax^2+bx+c=0
32,⠹⠂⠬⠹⠆⠬⠹⠒⠌⠲⠼⠌⠢⠼⠌⠖⠬⠹⠶⠌⠦⠼⠼,\frac{1+\frac{2+\frac{3}{4}}{5}}{6+\frac{7}{8}}
33,⠠⠠⠹⠂⠬⠠⠹⠆⠬⠹⠒⠌⠲⠼⠠⠌⠢⠠⠼⠠⠠⠌⠖⠬⠹⠶⠌⠦⠼⠠⠠⠼,\frac{1+\frac{2+\frac{3}{4}}{5}}{6+\frac{7}{8}}
